Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"LF1452";"La Boissière";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"16/04/2025";"18/04/2025";"49.125,0.14250000000004093";"N 49 07 30";"E 000 08 33";"540 ft";"Pas de tour de piste préférentiel.


Évitez les tours de piste (voisinage)";"1";"herbe";"";"20";"900";"'04-22";"herbe";"";"";"";"'Inconnue";"123,5";"Occasionnel";"0";"invalid";"phgirault2@orange.fr";"+33 6 82 82 55 94";"Stricte autorisation préalable du propriétaire pour venir y atterrir. Un aérodrome privé est une 'propriété privée'. Tous ceux qui respectent rigoureusement ces consignes y seront fort bien accueillis.





";"Lisieux-ULM";
"";"LF1454";"Rouvres";"Base ULM Autorisation OBLIGATOIRE ";"8/03/2011";"7/05/2018";"14/04/2023";"49.019909074562,-0.19828818518067237";"N 49 01 12";"W 000 11 54";"345 ft";"Tours de piste côté est, hangar, manche à air. ";"1";"herbe";"";"";"280";"'02-20";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"herveratel@orange.fr";"+33 2 31 78 11 48";"Propriétaire Mr Pierre Michel, 14190 St-Sylvain, phone: 02 31 78 11 48. Visiteurs ULM bienvenus.";"Hervé Ratel";
"oui";"LF1455";"Victot Bouttemont";"Aérodrome fermé.";"24/06/2012";"1/03/2014";"29/03/2019";"49.16771991092875,0.00025281906130203424";"N 49 10 04";"E 000 00 01";"33 ft";"Cet aérodrome privé n'existe plus, le propriétaire a vendu son domaine.";"1";"herbe";"'24";"30";"1000";"'06-24";"herbe";"";"";"";"'Inconnue";"123.5";"";"0";"invalid";"";"";"Cet aérodrome n'existe plus, le propriétaire a vendu son domaine.";"";
"";"LF1456";"Omaha Beach";"Base ULM Accès privé";"22/06/2015";"2/04/2024";"20/10/2025";"49.352987,-0.842965";"N 49 21 11";"W 000 50 35";"203 ft";"Tour de Piste 800 Pieds QNH à l'Est des installations.





Survol du Cimetière Militaire Américain à proximité à l'ouest interdit en dessous de 3000 Pieds QNH (Rassemblement de personnes).





 arbres au Sud.";"1";"herbe";"'35";"20";"300";"'17-35";"";"";"";"";"";"125.335";"95 et 98 a 3km";"2,3,4,5,6";"Hangar possible, Restauration sur place, Gîte à proximité, Camping possible, Restauration &agrave proximité";"udy2@free.fr";"+33 6 80 16 38 79";"Vols  découverte des plages de débarquement en Piper savage Cub avec société ' OMAHA FLIGHTS'  lf1456.com


 Baptêmes de l'air.";"";
"oui";"LF1457";"ZTN AIR";"Base ULM fermée définitivement";"21/08/2016";"8/01/2019";"29/04/2019";"49.031505248916,0.036048495800741875";"N 49 01 53";"E 000 02 10";"102 ft";"Tour de piste au sud quelle que soit la piste utilisée";"1";"herbe";"'31";"20";"300";"'13-31";"herbe";"";"";"";"'Inconnue";"nil";"nil";"0";"invalid";"yberl@wanadoo.fr";"+33 6 30 09 56 96";"SUR AUTORISATION  PRÉALABLE SEULEMENT 


tour de piste impératif au sud quelle que soit la piste utilisée";"ZTN Air sarl";
"oui";"LF1522";"Trizac";"Base ULM fermée temporairement ";"8/03/2011";"14/09/2015";"10/03/2025";"45.268333,2.548055999999974";"N 45 16 06";"E 002 32 53";"3300 ft";"non praticable beaucoup de rats taupiers";"1";"herbe";"";"";"390";"'13-31";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 4 71 40 35 57";"";"";
"oui";"LF1524";"Landeyrat Les Chamasses";"Base ULM fermée définitivement";"8/03/2011";"2/07/2015";"24/07/2015";"45.284167,2.858333";"N 45 17 03";"E 002 51 30";"3739 ft";"";"1";"herbe";"";"";"300";"'Inconnue";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"";"pas évident sur Google Earth  ?!? grande prairie";"";
"oui";"LF1551";"Sion Le Vigean";"Base ULM fermée définitivement";"9/03/2011";"9/03/2011";"18/03/2013";"45.220556,2.384166999999934";"N 45 13 14";"E 002 23 03";"2460 ft";"";"1";"herbe";"";"";"";"'00-00";"";"";"";"";"";"";"";"";"";"";"";"";"";
"";"LF1552";"Le Peuch";"Aérodrome Privé Ouvert aux ULM";"6/11/2011";"17/07/2024";"19/07/2024";"44.9002447598591,3.10656055026584";"N 44 54 01";"E 003 06 24";"3000 ft";"Atterrissage en 01, décollage en 19";"1";"herbe";"'01";"20";"300";"'01-19";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"";"+33 6 71 92 10 65";"Alexandre Portal accueille chaleureusement avions et ULM qui lui ont téléphoné au 04 71 23 58 48 ou   06 71 92 10 65


";"";
"";"LF1553";"Le Bruel";"Base ULM Accès privé";"12/11/2011";"23/08/2017";"14/04/2023";"44.742953649707,2.2003555297851562";"N 44 44 35";"E 002 12 01";"1427 ft";"Atterrissage obligatoire en 36. Décollage obligatoire en 18.";"1";"herbe";"'36";"";"300";"'18-36";"herbe";"";"";"";"'Inconnue";"125.335";"Non";"0";"invalid";"";"+33 6 23 20 03 43";"Déclivité montante de 7% dans le sens atterrissage Sud-Nord.





Information à l'avance du propriétaire recommandée au 06 23 20 03 43 ";"";
"oui";"LF1622";"Confolens";"Base ULM fermée définitivement";"8/03/2011";"25/11/2013";"10/12/2013";"46.024722,0.6666669999999613";"N 46 01 29";"E 000 40 00";"";"Un pilote signale qu'il n'a pas retrouve cette plate-forme lors d'un vol récent ! ...";"1";"herbe";"";"0";"570";"'Inconnue";"";"";"";"";"";"";"";"";"";"";"";"";"";
"oui";"LF1623";"Massignac";"Base ULM Accès privé";"9/03/2011";"9/03/2011";"25/09/2012";"N 45 46 00,E 000 38 30";"N 45 46 00";"E 000 38 30";" ft";"";"1";"herbe";"";"";"840";"'00-00";"";"";"";"";"";"";"";"";"";"";"";"";"";
"oui";"LF1624";"Parzac";"Aérodrome Privé Interdit aux ULM Autorisation OBLIGATOIRE ";"8/03/2011";"8/03/2011";"7/12/2013";"N 45 54 29,E 000 27 00";"N 45 54 29";"E 000 27 00";"480 ft";"Aérodrome réservé au propriétaire compte tenu des restrictions mentionnées à la rubrique 'Piste'";"1";"herbe";"";"";"300";"'11-29";"";"";"";"";"";"";"";"";"";"";"";"";"";
"";"LF1625";"Pillac";"Base ULM Accès privé";"29/06/2011";"26/12/2015";"29/08/2025";"45.33176941035283,0.1847076416015625";"N 45 19 54";"E 000 11 05";"335 ft";"Piste ULM privée en montée et légèrement ondulée. 


Utiliser comme une altisurface. 





Atterrissage en 15


Décollage en 33. 





Située sous la R49A (Cognac), plafond 3000ft AMSL";"1";"herbe";"'15";"40";"320";"'15-33";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"lesvergersdumarquis@wanadoo.fr";"+33 6 80 83 11 29";"";"";
"";"LF1627";"Saint Maurice";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"30/09/2018";"27/05/2021";"45.96672665888322,0.7396928941650458";"N 45 58 00";"E 000 44 23";"755 ft";"Zone balisée et vérifiée : 270m par 22m en 2018


Tour de piste préférentiel 'main gauche'


Turbulences possibles QFU 18 liées à la proximité d'arbres


Piste en légère montée face au nord


Risque d'obstacles gibier hors zone balisée (trous)";"1";"herbe";"'36";"28";"600";"'18-36";"herbe";"";"";"";"'Inconnue";"123.500";"SP 98 dépannage";"0";"invalid";"le.rhus@wanadoo.fr";"+33 6 40 09 44 84";"Aérodrome privé : (PPR) autorisation préalable obligatoire ... sauf emergency évidemment !





ATTENTION hors zone balisée, il y a des risques d'obstacles liés au gibier (lièvre, sanglier, cervidés, ...) : contact préalable avec le gestionnaire de l'aérodrome indispensable.





Essence SP98 éventuellement disponible sous réserve de préavis. Station essence située à 12km.


";"";
"";"LF1628";"Saint Même Les Carrières";"Règles spécifiques d'accès";"4/07/2011";"22/02/2024";"24/02/2024";"45.63288603669965,-0.1597738265991211";"N 45 37 58";"W 000 09 35";"82 ft";"Aérodrome situé à la limite de la CTR de classe D de Cognac. 





Activité tous les jours même Base 709 active - Contacter Cognac Approche sur 132.45


Voir  'Observations'





Tour de piste 12-30 côté Sud


Tour de piste 01-19 main gauche";"2";"herbe";"'30";"30";"500";"'12-30";"herbe";"";"25";"240";"'01-19";"125.335";"SP 98";"4,1";"Gîte à proximité, Atelier ULM";"regis.fredon@orange.fr";"+33 6 83 41 92 40";" 


Autorisation par courriel regis.fredon@orange.fr ou par tél. au 06.83419240 (Régis FREDON) qui envoie la procédure détaillée. 


Contacter Cognac Approche 132.450 avant de pénétrer la CTR (D)


- BA 709 active : Entrée et Sortie : Verticale Châteauneuf sur Charente à 500 ft maxi - Radio 132.450


- BA 709 inactive : Verticale terrain 1000 ft AAL - Intégration standard - Radio 125.335





";"ACPL";
"";"LF1629";"Saint Coutant";"Base ULM Autorisation OBLIGATOIRE ";"2/09/2011";"26/12/2015";"14/04/2023";"46.018963066678,0.433136522769928";"N 46 01 08";"E 000 25 59";"600 ft";"";"1";"herbe";"'21";"15";"330";"'03-21";"herbe";"";"";"";"'Inconnue";"125.335";"";"";"";"jmgdu@club-internet.fr";"+33 6 12 79 04 11";"";"";
"oui";"LF1630";"Messeux";"Base ULM Autorisation OBLIGATOIRE ";"8/03/2011";"23/10/2015";"3/11/2015";"46.03531766076659,0.3534217301635181";"N 46 02 07";"E 000 21 12";"541 ft";"Approches dégagées. Pistes courtes mais en bon état.";"1";"herbe";"";"";"230";"'13-31";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"";"Pas évident sur google earth au 09.09.2015";"";
"";"LF1631";"Le Luquet";"Base ULM Autorisation OBLIGATOIRE ";"13/07/2011";"26/12/2015";"14/04/2023";"45.6432245720101,0.33116698265075684";"N 45 38 36";"E 000 19 52";"400 ft";"PPR : CONTACT PREALABLE IMPERATIF 


Jean Paul Bonnoron tél :06 70 64 23 97 





Survol des habitations à éviter.


 Attention à la turbulence du hangar par vent d'ouest.


Formation paramoteur sur la base,vérifier si piste libre.";"1";"herbe";"";"20";"260";"'04-22";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"Bonnoron.jeanpaul@wanadoo.fr";"+33 6 70 64 23 97";"";"Bonnoron Jean Paul";
"";"LF1651";"Aignes et Puyperoux";"Base ULM Accès limité Autorisation OBLIGATOIRE ";"7/11/2011";"25/11/2024";"11/01/2026";"45.461666,0.157821";"N 45 27 42";"E 000 09 28";"619 ft";"Atterrissage en 31 attention turbulences par vent de N et présence d'arbres dans l'axe de piste (15 à 20 m). 





Piste 31 en légère descente. 





Tour de piste au sud à 500 pieds";"1";"herbe";"'31";"30";"350";"'13-31";"";"";"";"";"";"125.335";"";"2,5";"Hangar possible, Camping possible";"ch.boreau@gmail.com";"+33 6 79 04 02 18";"Terrain situé dans la LF-R 49A Cognac. 


École de pilotage et entrainement à la voltige. Plancher 900m ASL. Plafond FL065. Activité en semaine. Contact : Cognac App 122.55.





Christophe Boreau (Président) 06 79 04 02 18


ULM 3 axes, Pendulaires";"Ulm Club Montmorelien";
"";"LF1652";"Brettes";"Base ULM Autorisation OBLIGATOIRE ";"30/06/2011";"4/05/2022";"14/04/2023";"46.01124742433,0.05255767459107119";"N 46 00 40";"E 000 03 09";"400 ft";" ligne électrique à l'EST en approche 25 'prudence'


Piste facilement inondable après fortes pluies


Éviter impérativement le survol des habitations et du village d'Empuré situé au nord du terrain.";"1";"herbe";"'07";"15";"350";"'07-25";"herbe";"";"";"";"'Inconnue";"125.335";"";"2";"Hangar possible";"nonojma@orange.fr";"+33611162888";"Base école ULM


Éviter le survol du village d'Empuré situé au nord des installations.";"Nord Charente ULM";
"";"LF1653";"Saint Ciers";"Base ULM Autorisation OBLIGATOIRE ";"27/08/2011";"9/06/2025";"10/06/2025";"45.85056482435938,0.26517391204833984";"N 45 51 02";"E 000 15 55";"314 ft";"Tour de piste standard 500 ft.à main gauche pour la 23 et main droite pour la 05.";"1";"herbe";"";"30";"450";"'05-23";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"eric.changeur@orange.fr";"+33 6 73 04 56 88";"Siège du GYRO CLUB ULM CHARENTAIS";"Changeur Eric";
"";"LF1654";"Champ rose";"Aérodrome Privé Ouvert aux ULM";"1/06/2014";"2/05/2022";"11/01/2026";"45.356783,0.109808";"N 45 21 24";"E 000 06 35";"210 ft";"";"1";"herbe";"'35";"25";"720";"'17-35";"";"";"";"";"";"";"";"4";"Gîte à proximité";"domainedechamprose@gmail.com";"+33 6 21 69 14 02";"Piste ouverte pour avions et ULM. Chambres d'hôtes ou privatisation du château. Piste privilégiée pour nos hôtes. Restauration à 5 km. Pour les hôtes, livraison possible des repas.


Autorisation obligatoire pour atterrissage via téléphone pour ne pas nuire à la tranquillité de nos hôtes.";"privé";
"";"LF1655";"CHENOMMET";"Base ULM Autorisation OBLIGATOIRE ";"31/10/2015";"18/01/2025";"20/01/2025";"45.9259800896402,0.2613089179992585";"N 45 55 34";"E 000 15 41";"330 ft";"Altitude tour de piste 1000 ft QNH


Tour de piste au Nord / Nord-Est à main gauche pour la 13 et à main droite pour la 31


Pour la 31, seuil décalé à 150 m de la Départementale 102.


Pensez à la Zone Réglementée LF-R49A2 utilisée par la BA 709 de Cognac ";"1";"herbe";"";"18";"250";"'13-31";"herbe";"";"";"";"'Inconnue";"125.335";"NON";"6,2,4,5";"Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible";"Tannegyrocopter@gmail.com";"+33 6 80 18 64 34";"- Accès par la route  : à AUNAC-sur-CHARENTE  prendre direction COUTURE par la D102, 


-Club Ulm : Ailes du Ruffecois : président Nicolas Folcade .


Réseau MagniGyro : 


- Baptêmes de l'air + instruction autogire  : Anne TEILLET +33 6 80 18 64 34


Nicolas Folcade:+33 6 68 75 29 34


";" Anne Teillet ";
"";"LF1656";"La Broue";"Base ULM Accès limité Autorisation OBLIGATOIRE ";"28/11/2019";"26/01/2023";"14/04/2023";"45.7698802009457,0.01857965249643989";"N 45 46 12";"E 000 01 07";"400 ft";"Reconnaissance du terrain type montagne


Terrain en pente avec dévers ouest sur une partie de la piste


 Piste préférentiel 02 jusqu'a 10 noeuds de vent arrière


Atterrissage en 20 interdit";"1";"herbe";"'02";"30";"300";"'02-20";"herbe";"";"";"";"'Inconnue";"125.335";"non";"0";"invalid";"gmartron@martron.eu";"+33 5 45 64 06 28";"Turbulences avec vent de l'est au sud en seuil de piste


Ne pas survoller le village de Dorgeville et les habitations alentours


AUTORISATION OBLIGATOIRE";"Gerard Martron";
"";"LF1657";"Condac";"Base ULM Accès privé";"14/12/2022";"14/12/2022";"14/04/2023";"46.02035336823,0.24239271163939424";"N 46 01 13";"E 000 14 33";"500 ft";"Circuit coté ouest.


Piste en légère montée vers le Nord. ATR en 36, D/L en 18.


Ligne HT à 400m au nord.";"1";"herbe";"'02";"16";"280";"'18-36";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"henrigda@orange.fr";"+33 6 20 47 44 52";"Piste à usage privé. Autorisation du gestionnaire impérative.";"";
"";"LF1658";"La Grande Métairie";"Base ULM Autorisation OBLIGATOIRE ";"21/09/2023";"15/11/2024";"17/11/2024";"45.887035515214286,0.32023692383420954";"N 45 53 13";"E 000 19 13";"322 ft";"- tour de piste préférentiel à l'est en  33 (éviter le survol des habitations)


- tour de piste 500 pieds sol


- atterrissage : axe préférentiel en 15 


- décollage : axe préférentiel en 33


";"1";"herbe";"";"20";"200";"'15-33";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"nicolas.gervaisdelafond@gmail.com";"+33 6 63 04 21 07";"Autorisation à demander par téléphone la veille.


Dangers proches :


- ligne électrique  nord/sud, 200m à l'ouest de la piste


- 8 éoliennes de 150m de haut situées à 2,5 km au sud de la piste et alignées NW/SE";"GERVAIS de LAFOND Nicolas";
"";"LF1659";"Boistizon";"Aérodrome Privé Ouvert aux ULM";"17/03/2024";"17/03/2024";"20/03/2024";"45.86837815686386,0.44119108200071366";"N 45 52 06";"E 000 26 28";"492 ft";"tour de piste à l'ouest";"1";"herbe";"";"30";"480";"'01-19";"herbe";"";"";"";"'Inconnue";"123,5";"";"0";"invalid";"patrice.baraud@orange.fr";"+33 6 45 47 79 40";"";"P. Baraud";
"";"LF1660";"Bossard";"Base ULM Accès privé";"28/05/2024";"1/01/2025";"7/04/2026";"45.580821,0.423308";"N 45 34 51";"E 000 25 24";"155 ft";"Tour de piste en Sud-Est à 700 pieds,";"1";"herbe";"";"30";"250";"'04-22";"";"";"";"";"";"125.335";"sur demande";"4,6";"Gîte à proximité, Restauration &agrave proximité";"david.bossard4@wanadoo.fr";"+33 6 87 80 06 73";"Piste très légèrement en montée à l'atterrissage puis plate à l'arrivée finale. Attention 1 seul QFU (040° NE)


ATTENTION Ligne électrique en bout de piste  mais ne gêne en rien pour atterrissage et décollage.


Atterrissage en 22 (OBLIGATOIRE)


Décollage en 04 (OBLIGATOIRE)";"";
"oui";"LF1721";"Archiac";"Base ULM Autorisation OBLIGATOIRE ";"8/03/2011";"16/09/2015";"3/11/2015";"45.516667,-0.35000000000002274";"N 45 31 00";"W 000 21 00";"";"";"1";"herbe";"";"";"350";"'05-23";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"";"pas évident sur google earth au 17 sept. 2015";"";
"oui";"LF1723";"Fontenet";"Base ULM fermée définitivement";"9/03/2011";"12/03/2013";"12/03/2013";"N 45 53 59,W 000 27 00";"N 45 53 59";"W 000 27 00";" ft";"";"1";"herbe";"";"";"400";"'00-00";"";"";"";"";"";"";"";"";"";"";"";"";"";
"";"LF1726";"Jarnac Champagne";"Base ULM Accès privé";"25/08/2011";"26/12/2015";"14/04/2023";"45.55973719389,-0.41782379150390625";"N 45 33 35";"W 000 25 04";"200 ft";"Sud";"1";"herbe";"";"20";"240";"'09-27";"herbe";"";"";"";"'Inconnue";"125.335";"";"";"";"daniel.archereau@wanadoo.fr";"+33 5 46 49 53 37";"Propriétaire joignable au 05 46 49 53 37";"";
"";"LF1727";"Nantillé";"Base ULM Autorisation OBLIGATOIRE ";"28/10/2011";"30/10/2024";"7/04/2026";"45.845556,-0.478333";"N 45 50 44";"W 000 28 42";"134 ft";"Intégration standard


Tour piste SUD/EST


Seuils décalés cause chemins - piste 350m effectifs


Bosse ; peut allonger atterrissage en 04 et décollage en 22


Cultures hautes : par chaleurs, vent travers - effet sol


Bois/bosquet : vent travers - rabattants";"1";"herbe";"'22";"25";"400";"'04-22";"";"";"";"";"";"125.335";"SP 98";"2";"Hangar possible";"lesailesdelavoieromaine@orange.fr";"+33 6 78 97 49 34";"Hangar possible pour les visiteurs.


Contacter José De Sousa au 06 78 97 49 34


ou Philippe Bourillet au 06 06 42 28 20 


Carburant SP 98 possible (sur demande préalable)";"Club ULM";
"";"LF1751";"Corme Ecluse";"Base ULM Autorisation OBLIGATOIRE ";"7/11/2011";"11/07/2024";"13/07/2024";"45.620760898908,-0.8512580394744873";"N 45 37 15";"W 000 51 05";"98 ft";"Survol des habitations à éviter donc tour de piste assez court";"1";"herbe";"";"20";"360";"'11-29";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"royanulm@gmail.com";"+33 6 11 97 09 26";"";"Air Ocean Royan";
"oui";"LF1752";"Aigrefeuille d'Aunis";"Base ULM fermée définitivement";"14/08/2011";"9/04/2019";"29/04/2019";"46.127195778419,-0.9515833854675293";"N 46 07 38";"W 000 57 06";"110 ft";"Ce terrain est fermé, n'existe plus.";"1";"herbe";"";"25";"370";"'10-28";"herbe";"";"";"";"'Inconnue";"123.5";"";"0";"invalid";"promoterre@wanadoo.fr";"+33 5 46 35 66 47";"Live Webcam :  à 4km dans le NNW : http://www.meteo17aunis.fr/pages/webcam.php";"Barbin Claude";
"";"LF1753";"Le Thou";"Base ULM Autorisation OBLIGATOIRE ";"8/09/2011";"14/09/2025";"9/02/2026";"46.087088,-0.943086";"N 46 05 14";"W 000 56 35";"89 ft";"-Vertical terrain 1500ft/sol et tour de piste MAIN GAUCHE à 1500ft/sol   


-Au décollage piste 21 préférentielle


-A l’atterrissage piste 21 délicate avec seuil décalé (voie ferrée TGV, plus arbres)


-Toujours en 21 attention aux turbulences dues aux arbres par vent d’Ouest


-Si la Manche à Air est au sol, ne pas utiliser les pistes.


-Décollage sur la piste de secours 12-30, INTERDIT.";"2";"herbe";"";"40";"400";"'03-21";"herbe";"";"20";"280";"'12-30";"125.335";"Sur demande";"4,5,6";"Gîte à proximité, Camping possible, Restauration &agrave proximité";"patrice.percier@gmail.com";"+33 6 01 08 84 09";"Demande d'autorisation obligatoire, voir le formulaire sur notre site internet (http://aero-focus.e-monsite.com), rubrique VENIR EN VOL





  https://aero-focus.e-monsite.com/contact/autorisation-pour-se-poser.html";"Gestionnaire  AÉRO-FOCUS";
"";"LF1755";"Courçon Eol'Aunis";"Base ULM Accès privé";"26/10/2011";"3/03/2024";"5/03/2024";"46.24822765478579,-0.8308088779449463";"N 46 14 54";"W 000 49 51";"39 ft";"Tour de piste au Nord impératif.


QFU préférentiel : 28.


Léger dévers vers le Sud. Utiliser de préférence la moitié Nord de la piste..


Présence fréquente de paramoteurs.


Évitez le survol des habitations. ";"1";"herbe";"'28";"20";"290";"'10-28";"herbe";"";"";"";"'Inconnue";"125.335";"";"6,2";"Restauration &agrave proximité, Hangar possible";"Eol.aunis@orange.fr";"+33 06 64266695";"";"Courçon Eol'Aunis";
"";"LF1756";"Bourcefranc";"HydroSurface Restreinte Autorisation OBLIGATOIRE ";"2/01/2012";"5/10/2020";"27/05/2021";"45.872040673689,-1.1312316894531023";"N 45 52 19";"W 001 07 52";"";"";"1";"eau";"";"";"";"'omnidir";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"";"";"Utilisation restreinte : réservée exclusivement par arrêté à messieurs Chevrollier et Gaschet.";"PREMAR ATLANTIQUE";
"";"LF1757";"Arvert";"Base Paramoteurs Réglementé Avec Restrictions Autorisation OBLIGATOIRE ";"6/04/2015";"4/08/2020";"2/12/2025";"45.746624,-1.097087";"N 45 44 48";"W 001 05 50";"13 ft";"";"1";"herbe";"";"80";"80";"'omnidir";"";"";"";"";"";"";"";"0";"invalid";"ulm.ppc@gmail.com";"+33 6 60 80 14 73";"Base restreinte à une règlementation. Voir sur site www.paramote.com





terrain de 2 ha : 120 X 170 m";"Paramoteur Poitou-Charentes";
"oui";"LF1758";"PPC ETAULES";"Base paramoteurs fermée définitivement.";"11/06/2019";"4/08/2020";"25/05/2023";"45.70990540691756,-1.0846530506544405";"N 45 42 36";"W 001 05 05";"33 ft";"";"1";"herbe";"";"130";"150";"'omnidir";"herbe";"";"";"";"'Inconnue";"";"";"4,1";"Gîte à proximité, Atelier ULM";"contact@paramote.com";"+33 6 60 80 14 73";"";"Paramoteur Poitou-Charentes";
"";"LF1759";"Ferme du Fleuret";"Base ULM Accès privé";"3/01/2025";"7/04/2025";"9/04/2025";"45.92111111111111,-0.41494887037488715";"N 45 55 16";"W 000 24 54";"131 ft";"lire attentivement la carte VAC ci-jointe, tours de pistes à respecter et surtout visualiser les lignes électriques HT.


";"2";"herbe";"'16";"18";"550";"'16-34";"herbe";"'26";"18";"435";"'08-26";"125.335";"SP98";"3,6,2,4,5";"Restauration sur place, Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible";"micheneauclaude@gmail.com";"+33 6 07 56 33 75";"le carburant est à commander à l'avance ainsi que les repas maison.";"CLAUDE MICHENEAU";
"";"LF1821";"Coust Colombiers";"Aérodrome Privé Ouvert aux ULM";"19/06/2011";"24/12/2015";"25/01/2016";"46.679139159221,2.574380071428095";"N 46 40 45";"E 002 34 28";"720 ft";"";"1";"herbe";"";"20";"480";"'06-24";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"+33 2 48 63 51 36";"PPR au propriétaire


Mr Albert Lacombe (propriétaire d'un RV6 F-POLI basé ici)


tél 02 48 63 51 36 de 21:00 à 22:00 ";"Albert Lacombe";
"";"LF1822";"Guilly";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"26/10/2019";"28/10/2019";"47.148333333333,2.5988889999999856";"N 47 08 54";"E 002 35 56";"574 ft";"Piste située dans la CTR d'AVORD.. Clearance obligatoire.


Transpondeur mode S obligatoire.


Contact radio obligatoire à 10 mn du terrain, sur 119.7 ou 122.10


Ne pas dépasser une hauteur de 500ft 1100 ft QNH à moins de 5 nm du terrain.";"1";"herbe";"'36";"18";"800";"'18-36";"herbe";"";"";"";"'Inconnue";"119.700";"";"6,4";"Restauration &agrave proximité, Gîte à proximité";"copilote@hotmail.com";"+33 6 18 05 46 38";"Piste située dans la CTR d'Avord et proche de la P40..


Aucun appareil ne peut se poser sans autorisation spéciale.


Formalités d'autorisation auprès de la Préfecture obligatoire.";"";
"";"LF1826";"Sury en Vaux";"Base ULM ouverte tous types";"24/07/2011";"28/04/2025";"30/04/2025";"47.38083316590249,2.783253130929424";"N 47 22 51";"E 002 46 60";"1000 ft";"Circuit au nord (08 main gauche - 26 main droite) à 500 ft sol.


Piste 08 en montée (6 % maxi en début de piste puis plat).


Verticale avant intégration indispensable. Attention : activité montgolfières.


CONTACT 0607130534.  ";"1";"herbe";"'08";"20";"300";"'08-26";"herbe";"";"";"";"'Inconnue";"125.335";"sur demande";"6,2,4,5";"Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible";"";"+33 6 30 97 34 77";"CONTACT AU 0607130534 Frédéric ou 06 30 97 34 77 Lucien


7 kms au NO de Sancerre entre Sury-en-Vaux et Subligny sur la D57.


Essence possible AU  ; 06.07.13.05.34 (Frédéric) 


Ou 06 30 97 34 77 Lucien photo 1 prise en direction du Nord-Ouest, photo 2 en direction du Nord.


Vols de découverte possibles en ULM multiaxes, ULM pendulaire et en Montgolfière 


Informations ici : http://aeroplumsancerrois.wixsite.com/ulm-sancerre


";"AEROPLUM SANCERROIS";
"";"LF1852";"Dun sur Auron";"Base ULM ouverte tous types";"8/03/2011";"21/08/2025";"5/01/2026";"46.876183,2.503507";"N 46 52 34";"E 002 30 13";"515 ft";"Plateforme sous les zones LF-R20 A2 et LF-R139 contact Avord App. 119.7 .


Située dans les marais de Contres, la partie basse du terrain est spongieuse après de forte pluies. .


Tour de piste à l'ouest du terrain à 500' sol. Éviter le survol de Contres";"1";"herbe";"'33";"20";"350";"'15-33";"";"";"";"";"";"125.335";"";"0";"invalid";"berrybleu@cegetel.net";"+33 6 01 94 79 77";"Contacter M.JF Delinotte avant de vous poser pour consignes particulières


Notre club dispose pour les pilotes à mobilité réduite d'un fauteuil de transfert";"Club Ulm of Blueberry";
